,names,relese_date,run_time,rating_tag,rating
73,24 Batman: The Animated Series,1992–1995,85 eps,TV-PG,9.0
74,25 The Office,2005–2013,188 eps,TV-14,9.0
75,1 Breaking Bad,2008–2013,62 eps,TV-MA,9.5
76,2 Planet Earth II,2016,6 eps,TV-G,9.5
77,3 Planet Earth,2006,11 eps,TV-PG,9.4
78,4 Band of Brothers,2001,10 eps,TV-MA,9.4
79,5 Chernobyl,2019,5 eps,TV-MA,9.3
80,6 The Wire,2002–2008,60 eps,TV-MA,9.3
81,7 Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
82,8 Blue Planet II,2017,7 eps,TV-G,9.3
83,9 The Sopranos,1999–2007,86 eps,TV-MA,9.2
84,10 Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.2
85,11 Cosmos,1980,13 eps,TV-PG,9.3
86,12 Our Planet,2019–2023,12 eps,TV-PG,9.3
87,13 Game of Thrones,2011–2019,74 eps,TV-MA,9.2
